id,EAP,HPL,MWS
id02310,0.1777058243751526,0.04264053329825401,0.7796536684036255
id24541,0.9653097987174988,0.03281104937195778,0.0018791052279993892
id00134,0.0035852843429893255,0.9939520955085754,0.0024625721853226423
id27757,0.7161420583724976,0.07668423652648926,0.20717370510101318
id04081,0.7700790166854858,0.06539170444011688,0.16452926397323608
id27337,0.9725309014320374,0.00988489668816328,0.017584161832928658
id24265,0.9951891899108887,0.002392648719251156,0.002418183721601963
id25917,0.045847319066524506,0.7540639042854309,0.20008882880210876
id04951,0.9874789714813232,0.005685890559107065,0.0068351104855537415
id14549,0.9554473757743835,0.005113180261105299,0.03943946212530136
id22505,0.20132461190223694,0.4709223210811615,0.3277530372142792
id24002,0.02733994647860527,0.9558156728744507,0.016844354569911957
id18982,0.004967333283275366,0.009182987734675407,0.9858497381210327
id15181,0.021465083584189415,0.9726956486701965,0.005839279852807522
id21888,0.924420952796936,0.01341025810688734,0.06216883659362793
id12035,0.04900389164686203,0.0082709277048707,0.9427251815795898
id17991,0.42727234959602356,0.06176915019750595,0.5109584927558899
id10707,0.9937940835952759,0.004550923127681017,0.0016549639403820038
id07101,0.815493106842041,0.016960399225354195,0.16754651069641113
id00345,0.8697272539138794,0.07146189361810684,0.05881081521511078
id05912,0.9328596591949463,0.02999325841665268,0.037147097289562225
id13443,0.7010383605957031,0.23150992393493652,0.06745176762342453
id09248,0.21638303995132446,0.10413683205842972,0.6794801354408264
id17542,0.7789256572723389,0.16218513250350952,0.05888919159770012
id06995,0.4693962633609772,0.08790319412946701,0.44270047545433044
id25159,0.5314083099365234,0.02735881879925728,0.4412328898906708
id25729,0.7498599290847778,0.2110849916934967,0.03905506432056427
id26949,0.6501554250717163,0.17864331603050232,0.17120125889778137
id27191,0.03583372384309769,0.00399729423224926,0.9601690173149109
id07668,0.04335329681634903,0.0020362320356070995,0.9546104669570923
id02230,0.25981539487838745,0.2867586612701416,0.45342591404914856
id15553,0.9705846905708313,0.0012716320343315601,0.028143709525465965
id25688,0.0037028559017926455,0.9936289191246033,0.002668255241587758
id17545,0.7214792370796204,0.2655322253704071,0.012988532893359661
id13929,0.399768590927124,0.2194187492132187,0.3808126151561737
id12880,0.4461868405342102,0.5208707451820374,0.032942403107881546
id19282,0.3768292963504791,0.16442367434501648,0.458746999502182
id14690,0.006058177910745144,0.0011334141017869115,0.99280846118927
id17975,0.607833206653595,0.2096746563911438,0.18249210715293884
id08037,0.9965260624885559,0.000953158363699913,0.0025207349099218845
id15412,0.9147546291351318,0.002662853104993701,0.08258257061243057
id25032,0.9055261611938477,0.018655095249414444,0.0758187398314476
id27165,0.8097410798072815,0.10207522660493851,0.08818374574184418
id03327,0.6706466674804688,0.21702180802822113,0.11233153939247131
id18515,0.8226664662361145,0.09853176027536392,0.07880181074142456
id21003,0.12423466145992279,0.3025963306427002,0.5731689929962158
id23855,0.019485468044877052,0.8844565749168396,0.09605792909860611
id20724,0.9623355865478516,0.005282707046717405,0.03238175809383392
id13303,0.7858043909072876,0.17948386073112488,0.03471175953745842
id16521,0.05397491157054901,0.38031238317489624,0.5657126903533936
id20775,0.9927299618721008,0.0013083593221381307,0.0059616900980472565
id13029,0.8124580979347229,0.12998418509960175,0.05755772814154625
id14660,0.7777929902076721,0.16826798021793365,0.05393899232149124
id11028,0.02064479887485504,0.0005618263967335224,0.9787934422492981
id14180,0.9380230903625488,0.052832476794719696,0.009144439361989498
id25860,0.9747452735900879,0.006657090969383717,0.018597666174173355
id11910,0.41211405396461487,0.011740039102733135,0.5761459469795227
id08065,0.07775348424911499,0.010304661467671394,0.9119418263435364
id22674,0.20393052697181702,0.1724892109632492,0.623580276966095
id25018,0.8390717506408691,0.044791329652071,0.11613690853118896
id10892,0.005276249721646309,0.993990421295166,0.0007333661196753383
id10217,0.299087256193161,0.6821424961090088,0.01877024583518505
id12996,0.5722466707229614,0.002390097128227353,0.4253632426261902
id18262,0.9536217451095581,0.03277823328971863,0.013599972240626812
id08606,0.1269582062959671,0.7484902739524841,0.12455153465270996
id17233,0.8703654408454895,0.02090507000684738,0.10872954875230789
id00101,0.5821746587753296,0.39694902300834656,0.02087629958987236
id12225,0.7632993459701538,0.06362446397542953,0.17307616770267487
id01364,0.2271261066198349,0.6884334087371826,0.0844404548406601
id24973,0.2518135607242584,0.008724712766706944,0.7394617795944214
id25363,0.38531380891799927,0.003241331549361348,0.6114448308944702
id10061,0.47936105728149414,0.031817659735679626,0.4888213276863098
id17673,0.23014432191848755,0.1739473044872284,0.5959083437919617
id13249,0.8013648390769958,0.03519570827484131,0.16343940794467926
id10107,0.10922636836767197,0.02109038643538952,0.8696832656860352
id04403,0.9471054673194885,0.01942361891269684,0.033470939844846725
id25728,0.8666368722915649,0.05616990476846695,0.07719320058822632
id16184,0.2175510972738266,0.2963809370994568,0.4860679805278778
id03438,0.6140697598457336,0.0218616034835577,0.3640686273574829
id22923,0.28321030735969543,0.6952931880950928,0.021496519446372986
id08610,0.9374950528144836,0.014611302874982357,0.04789372533559799
id25355,0.4268823266029358,0.43310508131980896,0.14001253247261047
id16916,0.28574949502944946,0.5874918103218079,0.12675872445106506
id12793,0.09993275254964828,0.7691582441329956,0.1309089958667755
id11859,0.648998498916626,0.04189152270555496,0.30910998582839966
id02434,0.9759355187416077,0.010212107561528683,0.013852319680154324
id27703,0.0375053845345974,0.004182741045951843,0.9583118557929993
id25212,0.01313028298318386,0.9270031452178955,0.05986662954092026
id11308,0.2651233971118927,0.01744268275797367,0.7174338698387146
id26094,0.9466686844825745,0.04757273942232132,0.005758651532232761
id22080,0.8690286874771118,0.10320600867271423,0.027765324339270592
id03545,0.7444629073143005,0.24243277311325073,0.013104352168738842
id23725,0.012039695866405964,0.10235785692930222,0.8856024742126465
id12009,0.8838865756988525,0.08678829669952393,0.02932511456310749
id24241,0.7641693353652954,0.11754031479358673,0.11829032748937607
id03596,0.009455680847167969,0.9836554527282715,0.006888850592076778
id10749,0.023834357038140297,0.9526074528694153,0.02355818822979927
id22794,0.008726401254534721,0.010748724453151226,0.9805248975753784
id15482,0.19607418775558472,0.4544062316417694,0.34951964020729065
id04833,0.09668657183647156,0.8190902471542358,0.08422312885522842
id00397,0.12900963425636292,0.007276141084730625,0.8637142777442932
id14691,0.5050329566001892,0.3746549189090729,0.12031212449073792
id05193,0.21193642914295197,0.01974632404744625,0.7683172225952148
id19541,0.8517156839370728,0.10403411835432053,0.044250186532735825
id22166,0.08883102983236313,0.0041531906463205814,0.9070158004760742
id20744,0.0035834582522511482,0.001603175769560039,0.9948134422302246
id10392,0.027613066136837006,0.01378843653947115,0.9585984945297241
id00770,0.9671132564544678,0.021055713295936584,0.011830981820821762
id06018,0.6573181748390198,0.2576654851436615,0.08501637727022171
id15678,0.2798333466053009,0.07218677550554276,0.6479798555374146
id08305,0.9400709271430969,0.04965364933013916,0.01027548499405384
id08903,0.17744514346122742,0.003376029897481203,0.8191788196563721
id14752,0.1861659735441208,0.5310066342353821,0.28282737731933594
id12468,0.2536371648311615,0.7391881942749023,0.00717462133616209
id05085,0.4690719544887543,0.4645727574825287,0.06635523587465286
id21993,0.4264233112335205,0.02855953760445118,0.5450171232223511
id15503,0.825682520866394,0.08978644758462906,0.08453107625246048
id03021,0.13439729809761047,0.8355710506439209,0.030031591653823853
id16123,0.9465034008026123,0.05039398372173309,0.003102606628090143
id19383,0.8650385141372681,0.10075297206640244,0.03420853242278099
id04186,0.9084781408309937,0.010059201158583164,0.08146271109580994
id17954,0.012077521532773972,0.0014776309253647923,0.986444890499115
id12030,0.03545670956373215,0.0010278879199177027,0.9635154008865356
id13020,0.5304684638977051,0.345968633890152,0.12356290966272354
id25327,0.03754570335149765,0.3181173801422119,0.6443368792533875
id16344,0.4077591300010681,0.057428259402513504,0.5348126292228699
id12303,0.8881955146789551,0.07783626765012741,0.03396814689040184
id15017,0.9877939224243164,0.010116701945662498,0.0020893975161015987
